rank_tier,cwid,name,primary_title,primary_department,confirmed_pubs,active_pi_grants,max_pub_impact
C_active_PI,"pka4006","Pragya Kakani","Assistant Professor of Population Health Sciences","Population Health Sciences",21,3,57.0
C_active_PI,"dgn2001","Dawid Nowak","Assistant Professor of Pharmacology in Medicine","Medicine",21,2,57.0
C_active_PI,"roh2002","Romulo Hurtado","Assistant Professor of Cell and Developmental Biology Research in Surgery","Surgery",21,1,66.0
C_active_PI,"yal4002","Yang Lin","Assistant Professor of Regenerative Medicine Research in Medicine","Medicine",21,1,73.0
C_active_PI,"kos9010","Kohta Saito","Assistant Professor of Medicine","Medicine",21,1,58.0
C_active_PI,"mif4018","Michaela A Fuchs","Instructor of Physiology in Medicine","Medicine",21,1,63.0
D_20to49_pubs,"srs9034","Sharon Steinberger","Assistant Professor of Clinical Radiology","Radiology",21,0,45.0
D_20to49_pubs,"als9138","Amy Shaw","Assistant Professor of Clinical Medicine","Medicine",21,0,55.0
D_20to49_pubs,"ime4002","Immanuel Elbau","Assistant Professor of Psychiatry","Psychiatry",21,0,76.0
D_20to49_pubs,"esj9020","Elizabeth Gorman","Assistant Professor of Surgery","Surgery",21,0,60.0
D_20to49_pubs,"syc2005","Steven Chao","Assistant Professor of Clinical Surgery","Surgery",21,0,56.0
D_20to49_pubs,"bal9018","Baoqing Li","Assistant Professor of Clinical Radiation Oncology","Radiation Oncology",21,0,
D_20to49_pubs,"loh2007","Long He","Assistant Professor of Research in Pharmacology","Pharmacology",21,0,75.0
D_20to49_pubs,"vig9070","Virginia Gao","Assistant Professor of Neurology","Neurology",21,0,58.0
D_20to49_pubs,"jba4003","Jeffrey Alpert","Assistant Professor of Clinical Radiology","Radiology",21,0,55.0
D_20to49_pubs,"mep9081","Melvin Parasram","Assistant Professor of Clinical Neurology","Neurology",21,0,55.0
D_20to49_pubs,"car4008","Carla Ritagliati","Assistant Professor of Research in Pharmacology","Pharmacology",21,0,70.0
D_20to49_pubs,"kjp9013","Kristen Pepin","Assistant Professor of Clinical Obstetrics and Gynecology","Obstetrics and Gynecology",21,0,56.0
D_20to49_pubs,"els4026","Elena Solli","Instructor in Ophthalmology","Ophthalmology",21,0,
D_20to49_pubs,"jhc9010","Judy Ch'ang","Assistant Professor of Neurology","Neurology",21,0,55.0
D_20to49_pubs,"cha2010","Christopher Agrusa","Assistant Professor of Surgery","Surgery",21,0,51.0
D_20to49_pubs,"jip2003","Jimcy Platholi","Assistant Professor of Neuroscience in Anesthesiology","Anesthesiology",21,0,45.0
D_20to49_pubs,"joc7004","Johnson Chen","Assistant Professor of Clinical Radiology","Radiology",21,0,60.0
D_20to49_pubs,"avp9009","Andy Phan","Assistant Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",21,0,54.0
D_20to49_pubs,"jih9033","Jin-Young Han","Associate Professor of Clinical Pediatrics","Pediatrics",21,0,68.0
D_20to49_pubs,"jsg2005","Janna S. Gordon-Elliott","Associate Professor of Clinical Psychiatry","Psychiatry",21,0,45.0
D_20to49_pubs,"bjm9002","Benjamin May","Assistant Professor of Clinical Radiology","Radiology",21,0,44.0
D_20to49_pubs,"sharkom","Marianne Sharko","Assistant Professor of Clinical Pediatrics","Pediatrics",21,0,65.0
D_20to49_pubs,"mac7011","Manjil Chatterji","Associate Professor of Clinical Radiology","Radiology",21,0,41.0
C_active_PI,"dpc2003","Diany Paola Calderon","Associate Professor of Neuroscience in Anesthesiology","Anesthesiology",20,2,58.0
C_active_PI,"hho2001","Hasina Outtz Reed","Assistant Professor of Medicine","Medicine",20,2,65.0
C_active_PI,"mip9227","Michael Podolsky","Assistant Professor of Medicine","Medicine",20,2,57.0
C_active_PI,"cam9061","Catherine McGuinn","Associate Professor of Clinical Pediatrics","Pediatrics",20,1,
C_active_PI,"sdp4001","Silvia Pires","Instructor of Biomedical Sciences in Medicine","Medicine",20,1,72.0
D_20to49_pubs,"jel9064","Jeff Feng-Hsu Lin - Gyn-Oncology","Assistant Professor","Obstetrics and Gynecology",20,0,18.0
D_20to49_pubs,"mab4092","Mattia Bonzanni","Instructor of Neuroscience in Pediatrics","Pediatrics",20,0,54.0
D_20to49_pubs,"bustilo","Maria A Bustillo","Professor of Clinical Anesthesiology","Anesthesiology",20,0,51.0
D_20to49_pubs,"tak4005","Takato Kusakabe","Instructor of Immunology in Medicine","Medicine",20,0,75.0
D_20to49_pubs,"gav9007","Gaurav Varma","Assistant Professor of Medicine","Medicine",20,0,34.0
D_20to49_pubs,"qiz2006","Qiansheng Zhan","Assistant Professor of Research in Obstetrics and Gynecology","Obstetrics and Gynecology",20,0,65.0
D_20to49_pubs,"zap4003","Zahid Padamsey","Assistant Professor of Research in Cell and Developmental Biology","Cell and Developmental Biology",20,0,70.0
D_20to49_pubs,"deh3002","Denise Howard","Associate Professor of Clinical Obstetrics and Gynecology","Obstetrics and Gynecology",20,0,50.0
D_20to49_pubs,"ska2002","Salman Khaled Al Jerdi","Assistant Professor of Neurology","Neurology",20,0,52.0
D_20to49_pubs,"vly9001","Vivien L. Yap","Associate Professor of Clinical Pediatrics","Pediatrics",20,0,52.0
D_20to49_pubs,"dhm2001","David H Miller","Associate Professor of Medicine","Medicine",20,0,
D_20to49_pubs,"als9047","Aliza B Solomon","Associate Professor of Clinical Pediatrics","Pediatrics",20,0,50.0
D_20to49_pubs,"anb9189","Andrew Brandmaier","Assistant Professor of Radiation Oncology","Radiation Oncology",20,0,53.0
D_20to49_pubs,"jac4017","Julia Cron","Associate Professor of Clinical Obstetrics and Gynecology","Obstetrics and Gynecology",20,0,63.0
D_20to49_pubs,"lim9120","Line Malha","Assistant Professor of Medicine","Medicine",20,0,60.0
D_20to49_pubs,"bac2003","Barbara Chubak","Associate Professor of Clinical Urology (Pending Appointment at Rank)","Urology",20,0,36.0
D_20to49_pubs,"iss4009","Isabell Schulze","Instructor in Pharmacology","Pharmacology",20,0,75.0
D_20to49_pubs,"pbl9001","Peggy B. Leung","Assistant Professor of Medicine","Medicine",20,0,57.0
E_tail,"rlk9005","Rosy Priya L Kodiyanplakkal","Assistant Professor of Clinical Medicine","Medicine",19,0,56.0
E_tail,"gag2015","Gaurav Ghosh","Assistant Professor of Medicine","Medicine",19,0,56.0
